method,condition,n_atoms,charge,spin,attempted,graph_supported,geometrically_supported,validator_errors,distinct_connectivity,generation_seconds
warm,0,10,0,1,64,1,1,0,1,30.744431100785732
warm,1,12,0,3,64,33,35,0,33,30.278044410049915
warm,2,9,-1,1,64,2,35,5,2,30.253657358000055
warm,3,12,2,4,64,0,51,51,0,30.033988025970757
warm,4,17,0,1,64,4,6,0,4,30.149236461147666
warm,5,18,0,2,64,0,33,0,0,30.0890971950721
warm,6,14,1,1,64,7,9,0,7,30.047880314057693
warm,7,20,2,3,64,0,33,31,0,30.07384482701309
independent,0,10,0,1,64,1,2,0,1,29.607207097113132
independent,1,12,0,3,64,41,42,0,41,29.631849089171737
independent,2,9,-1,1,64,5,41,7,5,29.482664573006332
independent,3,12,2,4,64,0,47,47,0,29.4782496499829
independent,4,17,0,1,64,7,10,0,7,29.56948513002135
independent,5,18,0,2,64,0,35,0,0,29.670844207983464
independent,6,14,1,1,64,11,14,0,11,29.488713950151578
independent,7,20,2,3,64,0,41,41,0,29.070831182179973
rotation,0,10,0,1,64,1,1,0,1,29.178885287838057
rotation,1,12,0,3,64,38,40,0,38,28.88978557707742
rotation,2,9,-1,1,64,4,42,4,4,28.95865282486193
rotation,3,12,2,4,64,0,51,51,0,28.914238517172635
rotation,4,17,0,1,64,7,11,0,7,28.9511534338817
rotation,5,18,0,2,64,0,37,0,0,28.94119513197802
rotation,6,14,1,1,64,11,12,0,11,28.850731485988945
rotation,7,20,2,3,64,0,41,41,0,28.848418993875384
steric,0,10,0,1,64,1,1,0,1,29.00918077887036
steric,1,12,0,3,64,39,41,0,39,28.66821932909079
steric,2,9,-1,1,64,3,44,4,3,28.95193130406551
steric,3,12,2,4,64,0,54,54,0,28.750951413065195
steric,4,17,0,1,64,10,14,0,10,28.599525918019935
steric,5,18,0,2,64,0,39,0,0,28.605641711037606
steric,6,14,1,1,64,9,10,0,9,28.57878622901626
steric,7,20,2,3,64,0,41,40,0,28.69462681002915
typed_rotation,0,10,0,1,64,1,1,0,1,29.427980750100687
typed_rotation,1,12,0,3,64,44,44,0,44,28.95632928912528
typed_rotation,2,9,-1,1,64,2,36,3,2,28.93731448496692
typed_rotation,3,12,2,4,64,0,53,53,0,28.89212643704377
typed_rotation,4,17,0,1,64,14,18,0,13,29.002150245010853
typed_rotation,5,18,0,2,64,0,35,0,0,29.02804162283428
typed_rotation,6,14,1,1,64,13,17,0,13,28.966349745169282
typed_rotation,7,20,2,3,64,0,34,33,0,29.05970919993706
