method,condition,n_atoms,charge,spin,attempted,graph_supported,geometrically_supported,distinct_connectivity,validator_errors,radius_of_gyration_mean_A,generation_seconds
warm,0,10,0,1,64,1,1,1,0,2.3143449678345167,30.744431100785732
warm,1,12,0,3,64,33,35,33,0,2.3192271524964276,30.278044410049915
warm,2,9,-1,1,64,2,35,2,5,2.1841906246580667,30.253657358000055
warm,3,12,2,4,64,0,51,0,51,2.4651729261653217,30.033988025970757
warm,4,17,0,1,64,4,6,4,0,2.7802746244996754,30.149236461147666
warm,5,18,0,2,64,0,33,0,0,2.537096366819825,30.0890971950721
warm,6,14,1,1,64,7,9,7,0,2.5272088175285576,30.047880314057693
warm,7,20,2,3,64,0,33,0,31,2.99191371923955,30.07384482701309
independent,0,10,0,1,64,1,2,1,0,2.2335861574064717,29.607207097113132
independent,1,12,0,3,64,41,42,41,0,2.31556435391079,29.631849089171737
independent,2,9,-1,1,64,5,41,5,7,2.2014915892314364,29.482664573006332
independent,3,12,2,4,64,0,47,0,47,2.4871176977210907,29.4782496499829
independent,4,17,0,1,64,7,10,7,0,2.7099600175231133,29.56948513002135
independent,5,18,0,2,64,0,35,0,0,2.6117391679230226,29.670844207983464
independent,6,14,1,1,64,11,14,11,0,2.4639088506652858,29.488713950151578
independent,7,20,2,3,64,0,41,0,41,3.0689738292788187,29.070831182179973
rotation,0,10,0,1,64,1,1,1,0,2.2494054941085224,29.178885287838057
rotation,1,12,0,3,64,38,40,38,0,2.375688222611138,28.88978557707742
rotation,2,9,-1,1,64,4,42,4,4,2.1813407920609897,28.95865282486193
rotation,3,12,2,4,64,0,51,0,51,2.49250307810249,28.914238517172635
rotation,4,17,0,1,64,7,11,7,0,2.6491153969737873,28.9511534338817
rotation,5,18,0,2,64,0,37,0,0,2.5799078472326675,28.94119513197802
rotation,6,14,1,1,64,11,12,11,0,2.4607638673549643,28.850731485988945
rotation,7,20,2,3,64,0,41,0,41,3.076675067476943,28.848418993875384
steric,0,10,0,1,64,1,1,1,0,2.236579931687901,29.00918077887036
steric,1,12,0,3,64,39,41,39,0,2.3915660892405515,28.66821932909079
steric,2,9,-1,1,64,3,44,3,4,2.1892405186476647,28.95193130406551
steric,3,12,2,4,64,0,54,0,54,2.5046133268703015,28.750951413065195
steric,4,17,0,1,64,10,14,10,0,2.6397570520201414,28.599525918019935
steric,5,18,0,2,64,0,39,0,0,2.5874835295175105,28.605641711037606
steric,6,14,1,1,64,9,10,9,0,2.4634743484326553,28.57878622901626
steric,7,20,2,3,64,0,41,0,40,3.0942816959863446,28.69462681002915
