stage,method,attempted,graph_supported,geometrically_supported,disconnected,overlap,validator_errors
unrestricted,warm,512,78,256,256,4,95
unrestricted,gaussian,512,76,239,272,2,95
unrestricted,fixed,512,94,284,216,14,97
unrestricted,node,512,92,275,232,6,98
unrestricted,pair,512,93,281,229,8,97
connected_first,warm,512,66,237,270,8,99
connected_first,gaussian,512,105,314,192,6,117
connected_first,fixed,512,131,340,162,10,103
connected_first,node,512,121,352,157,4,112
connected_first,pair,512,111,337,167,9,108
connected_confirmation,gaussian,512,91,266,243,7,97
connected_confirmation,fixed,512,93,312,194,11,109
