index,n_atoms,charge,E_before_hartree,E_after_hartree,delta_E_kcalmol,delta_E_kcal_per_atom,max_force_evA,rmsd_A,steps,converged,failure_reason,n_total,n_ok,n_dE,failure_rate,delta_E_kcal_median,delta_E_kcal_mean,delta_E_kcal_p90,delta_E_per_atom_median,delta_E_per_atom_mean,delta_E_per_atom_p90,max_force_evA_median,rmsd_A_median,steps_median,convergence_rate
0,11,0,-14.635049410386,-14.812989988058,111.6593983094412,10.150854391767382,5.148749738900681,0.7976171731118928,,True,,,,,,,,,,,,,,,
1,83,0,-95.566269877222,-99.551345143485,2500.672484434561,30.128584149813985,41.74756659644027,1.5916572467162873,,False,,,,,,,,,,,,,,,
2,60,0,-78.64353986737,-79.524873251723,553.0450484896023,9.217417474826705,4.969573333341125,1.8877555124055518,,False,,,,,,,,,,,,,,,
3,80,0,-110.992019089454,-113.061007162481,1298.3096175479998,16.228870219349997,32.35769212434869,3.012188383260868,,False,,,,,,,,,,,,,,,
4,10,0,-12.259257746654,-12.317414780193,36.494089529127145,3.6494089529127143,3.792029320800304,0.41334727067411614,,True,,,,,,,,,,,,,,,
5,12,0,-24.737952950576,-24.93081822499,121.02478691256476,10.085398909380396,5.817849136678994,1.137928348921315,,True,,,,,,,,,,,,,,,
6,10,0,-16.489084371417,-16.643703161993,97.02475595461748,9.702475595461747,7.618178130598645,0.9285645348442247,,True,,,,,,,,,,,,,,,
7,37,0,-50.424277708516,-50.809422690959,241.68212537085006,6.531949334347299,11.32802332310266,1.8854228331734921,,True,,,,,,,,,,,,,,,
8,24,0,-37.287468391069,-37.504112840765,135.94644468743007,5.664435195309586,4.101224963528051,0.8742439468051845,,True,,,,,,,,,,,,,,,
9,12,0,-12.615642649732,-12.623673902736,5.039687348608209,0.41997394571735075,1.2368856031888005,0.07665387790106136,,True,,,,,,,,,,,,,,,
10,48,0,-62.02103389991,-62.201214298977,113.06490745501146,2.355518905312739,4.819576946610364,1.5385705964327656,,True,,,,,,,,,,,,,,,
11,9,0,-11.755367701504,-11.78689609382,19.784364880268186,2.1982627644742427,2.8329988084978868,0.3034175638643418,,True,,,,,,,,,,,,,,,
12,49,0,-80.765703956934,-81.392510754905,393.3272041339578,8.0270857986522,5.61461643023731,2.6847763062223464,,False,,,,,,,,,,,,,,,
13,54,0,-79.336163883922,-79.938569972257,378.0155276635063,7.000287549324191,5.195647751790588,3.0218277295979648,,False,,,,,,,,,,,,,,,
14,17,0,-21.680743715364,-21.957755992011,173.82782802778067,10.225166354575334,9.243368573398511,0.6955872081368463,,True,,,,,,,,,,,,,,,
15,7,0,-15.906936626003,-15.92540442179,11.588716821405157,1.655530974486451,6.004854159028698,0.14806302208839373,,True,,,,,,,,,,,,,,,
16,78,0,-105.186621029577,-106.070330061064,554.5357895732195,7.10943319965666,17.348918643516942,2.7157067696810033,,False,,,,,,,,,,,,,,,
17,112,0,-157.52158996786,-162.218277519446,2947.215935334437,26.31442799405747,75.40297717109623,3.2667785868200263,,False,,,,,,,,,,,,,,,
18,51,0,-76.648140758723,-79.038508109986,1499.9781594086476,29.41133645899309,276.2066055520415,1.4819451509116774,,True,,,,,,,,,,,,,,,
19,38,0,-57.98873228183,-58.238952874214,157.01579232663906,4.131994534911554,10.082160453494264,1.1614243866031195,,True,,,,,,,,,,,,,,,
20,8,0,-19.522358974274,-19.583602193758,38.43070044833697,4.803837556042121,4.24181233787624,0.21197920709356824,,True,,,,,,,,,,,,,,,
21,11,0,-11.838976099281,-12.02410868726,116.17245291464289,10.561132083149353,5.039236082214118,0.71481294786668,,True,,,,,,,,,,,,,,,
22,60,0,-83.410021298366,-84.146031722924,461.8535144193427,7.697558573655711,16.4790740028047,2.048926419704312,,False,,,,,,,,,,,,,,,
23,189,0,-166.730626291955,-186.971205520888,12701.155226680254,67.20187950624472,74.60963176674012,1.1669461983772975,,False,,,,,,,,,,,,,,,
24,16,0,-29.245447671749,-29.297502761805,32.66506218334631,2.0415663864591442,5.608342335152419,0.5174508116834688,,True,,,,,,,,,,,,,,,
25,47,0,-68.527973280527,-69.607973139906,677.7101437471388,14.419364760577421,27.06369190469223,2.4451027492808635,,False,,,,,,,,,,,,,,,
26,3,0,-4.148326704261,-4.25627876985,67.7409439017787,22.580314633926236,2.3207892335487226,0.6084645387409175,,True,,,,,,,,,,,,,,,
27,59,0,-98.305671568834,,,,4.617166417896352,,,False,no_energy_in_xtb_output,,,,,,,,,,,,,,
28,18,0,-22.359122486615,-22.417156651985,36.41698858901943,2.0231660327233016,3.5111752262378415,0.44967747874175906,,True,,,,,,,,,,,,,,,
29,162,0,-160.038317624838,-173.372632758917,8367.409076777561,51.650673313441736,53.612881016573354,1.484779304280307,,False,,,,,,,,,,,,,,,
30,13,0,-14.682121908534,-14.720246303432,23.92341899141813,1.8402629993398563,2.442790653860646,0.35512130913260853,,True,,,,,,,,,,,,,,,
31,141,0,-115.103015703486,-136.817258403305,13625.893016241936,96.63753912228324,184.89343681002745,1.4009374419422322,,False,,,,,,,,,,,,,,,
32,43,0,-59.034427079946,-59.891495589479,537.8186096530983,12.50740952681624,5.387790610559834,2.699048445727172,,False,,,,,,,,,,,,,,,
33,59,0,-84.009214025174,-84.559052100699,345.0286015925614,5.847942399873922,4.9079175376010005,2.0646767920225275,,True,,,,,,,,,,,,,,,
34,7,0,-17.842403005869,-17.863907204623,13.494088450272097,1.9277269214674424,4.215888409896242,0.6300387400111588,,True,,,,,,,,,,,,,,,
35,56,0,-99.504293572626,-100.754363680012,784.4308356277971,14.00769349335352,17.675556034982172,3.1294704458532863,,False,,,,,,,,,,,,,,,
36,15,0,-24.790342101676,-24.834549885654,27.740803273529338,1.849386884901956,6.1055771986419645,0.5989682506430947,,True,,,,,,,,,,,,,,,
37,30,0,-43.133532260023,-43.289082424827,97.60920210658523,3.253640070219508,1.869680284215191,1.2907753289042796,,True,,,,,,,,,,,,,,,
38,43,0,-69.735828430017,-70.062251657336,204.8336676969328,4.7635736673705305,3.6377917636234134,1.7250667380022373,,True,,,,,,,,,,,,,,,
39,93,0,-107.744310096478,-110.665852847179,1833.2957549452428,19.712857580056376,29.944653734245325,1.6451428595174495,,False,,,,,,,,,,,,,,,
40,106,0,-116.210823111126,-119.852551361564,2285.218979113078,21.558669614274322,41.48722894598411,2.0774822874145156,,False,,,,,,,,,,,,,,,
41,183,0,-188.419110489793,-207.533620360399,11994.536035877896,65.54391276436009,69.78792619874096,1.19116690088412,,False,,,,,,,,,,,,,,,
42,16,0,-18.956350442481,-18.983443673065,17.00125887443651,1.0625786796522818,7.727497852661242,0.5056928382294966,,True,,,,,,,,,,,,,,,
43,14,0,-21.418126651998,-21.466037058343,30.064233887700492,2.1474452776928925,2.626652218802446,0.40157954764664255,,True,,,,,,,,,,,,,,,
44,12,0,-20.820096705107,-20.924366632275,65.4303671577881,5.452530596482341,3.310609759140929,0.6696962971664047,,True,,,,,,,,,,,,,,,
45,7,0,-12.721568004597,-12.755471898654,21.275014728398858,3.039287818342694,9.101321896013907,0.10387529606699587,,True,,,,,,,,,,,,,,,
