index,n_atoms,charge,E_before_hartree,E_after_hartree,delta_E_kcalmol,delta_E_kcal_per_atom,max_force_evA,rmsd_A,steps,converged,failure_reason,n_total,n_ok,n_dE,failure_rate,delta_E_kcal_median,delta_E_kcal_mean,delta_E_kcal_p90,delta_E_per_atom_median,delta_E_per_atom_mean,delta_E_per_atom_p90,max_force_evA_median,rmsd_A_median,steps_median,convergence_rate
0,83,0,-77.864777723872,-79.943603778964,1304.4830444994552,15.716663186740425,31.21603424257659,1.589428027207629,,False,,,,,,,,,,,,,,,
1,15,0,-17.346157278269,-17.370448212451,15.242791333047021,1.0161860888698013,0.9399274150041969,0.45751092237885915,,True,,,,,,,,,,,,,,,
2,9,0,-11.694106362372,-11.802662104705,68.1197567779099,7.568861864212211,4.506771742511641,0.8771749710013244,,True,,,,,,,,,,,,,,,
3,24,0,-29.057769058669,-29.087976968218,18.955749433640072,0.7898228930683363,1.4648358195819677,0.925476773929924,,True,,,,,,,,,,,,,,,
4,10,0,-17.807797938234,-17.875993738355,42.793510667240945,4.279351066724095,3.9337812039953772,0.7999587556616384,,True,,,,,,,,,,,,,,,
5,39,0,-60.656401810905,-60.88337106142,142.42535501916214,3.6519321799785165,10.747571546441367,3.3530693748180744,,False,,,,,,,,,,,,,,,
6,3,0,-11.163748326163,-11.189783031171,16.337024046957815,5.445674682319272,3.7630750825129553,0.22640824973513388,,True,,,,,,,,,,,,,,,
7,38,0,-43.566065181038,-43.638172974578,45.24832360013535,1.1907453578982987,2.495045600456034,1.1472279994477639,,True,,,,,,,,,,,,,,,
8,33,0,-45.451624919202,-45.744163714443,183.57086554473318,5.562753501355551,1.9434344240932646,1.6278692160412709,,True,,,,,,,,,,,,,,,
9,115,0,-126.397378809955,,,,28.2454141946376,,,False,no_energy_in_xtb_output,,,,,,,,,,,,,,
10,10,0,-15.00441093711,-15.045660723521,25.88463177598124,2.588463177598124,1.9825325722789318,0.4801792815787842,,True,,,,,,,,,,,,,,,
11,35,0,-43.225583612687,-43.338895954189,71.10456782077985,2.03155908059371,2.4484305743781323,1.325584915577821,,True,,,,,,,,,,,,,,,
12,11,0,-19.544831273432,-19.618263744592,46.07957135676554,4.1890519415241405,2.185938652867611,0.5439277897087532,,True,,,,,,,,,,,,,,,
13,96,0,-157.132765316384,,,,54.72765722184221,,,False,no_energy_in_xtb_output,,,,,,,,,,,,,,
14,65,0,-100.357703741738,-100.629907882858,170.8106774320088,2.6278565758770585,4.862085848101182,2.5342184774871637,,False,,,,,,,,,,,,,,,
15,45,0,-62.633946706252,-62.71906160127,53.41040300768231,1.1868978446151626,6.603606449320842,2.8301216734978834,,False,,,,,,,,,,,,,,,
16,114,0,-141.462305615512,,,,62.88045873056534,,,False,no_energy_in_xtb_output,,,,,,,,,,,,,,
17,71,0,-94.102952621328,-94.574394553566,295.8342789499552,4.166679985210637,19.750191477077315,2.3145596971102456,,False,,,,,,,,,,,,,,,
18,15,0,-15.607162189345,-15.672282546043,40.86364078236309,2.724242718824206,2.7276993934162825,0.5369204636060428,,True,,,,,,,,,,,,,,,
19,10,0,-15.83098549636,-15.858868108093,17.49660302408059,1.7496603024080588,6.2674419833554245,0.790398615507926,,True,,,,,,,,,,,,,,,
20,19,0,-23.725769654057,-23.75640345223,19.222998580094135,1.0117367673733755,3.551213090037477,0.4242385397113249,,True,,,,,,,,,,,,,,,
21,21,0,-23.135983418167,-23.193512264426,36.09989605944217,1.7190426694972463,2.153701627889854,0.9485210428109714,,True,,,,,,,,,,,,,,,
22,15,0,-22.1610346616,-22.189995823276,18.173403331563964,1.2115602221042643,3.1802642742885032,0.16994195677946658,,True,,,,,,,,,,,,,,,
23,61,0,-74.399526158764,-75.350824446392,596.948688146569,9.78604406797654,4.7418998635192455,2.1278303307327455,,False,,,,,,,,,,,,,,,
24,78,0,-146.072367817686,-146.740237481045,419.09454119710534,5.373006938424427,23.70015426194024,3.050033997326265,,False,,,,,,,,,,,,,,,
25,15,0,-15.700275289945,-15.783092109045,51.968338597019645,3.4645559064679765,3.8605114787634247,0.6791457931066176,,True,,,,,,,,,,,,,,,
26,128,0,-137.926366302845,-139.111537429809,743.706110555956,5.810203988718406,34.782674090387395,1.757806060195894,,False,,,,,,,,,,,,,,,
27,80,0,-133.030082536369,-134.337041852737,820.1293532359487,10.251616915449357,9.240248574127257,2.503152753509349,,False,,,,,,,,,,,,,,,
28,77,0,-103.292894437956,-103.74329708905,282.63193070462773,3.670544554605555,6.669402790687228,2.4573650344956195,,False,,,,,,,,,,,,,,,
29,31,0,-48.305420750325,-48.496574688186,119.95090701224849,3.869384097169306,5.070375397548123,2.5340520983453394,,True,,,,,,,,,,,,,,,
30,67,0,-104.812510002458,-105.14792593705,210.47667670821326,3.1414429359434815,6.182954264592228,3.127957289764542,,False,,,,,,,,,,,,,,,
31,17,0,-26.071447934033,-26.131259095871,37.53207070806561,2.20776886518033,7.616081653764328,0.8618225160145462,,True,,,,,,,,,,,,,,,
32,27,0,-28.356060243923,-28.407354449396,32.187599898846194,1.192133329586896,5.5049609183028,0.6526118931194032,,True,,,,,,,,,,,,,,,
33,76,0,-126.788235470668,,,,9.559535805897887,,,False,no_energy_in_xtb_output,,,,,,,,,,,,,,
34,52,0,-75.001310147979,-75.680865272951,426.42727906806255,8.200524597462742,3.4097335005278318,1.6938608931171852,,True,,,,,,,,,,,,,,,
